Date,GBP +AC0- EUR,EUR +AC0- GBP,GBP +AC0- AUD,AUD +AC0- GBP,GBP +AC0- JPY,JPY +IBM- GBP,GBP +AC0- USD,USD +AC0- GBP
23/04/2024,1.140048,0.877156,1.789073,0.558949,144.721581,0.00691,1.372448,0.727987
24/04/2024,1.140048,0.877156,1.789073,0.558949,144.721581,0.00691,1.37365,0.727987
25/04/2024,1.140529,0.876786,1.783623,0.560657,144.505045,0.00692,1.37365,0.727895
26/04/2024,1.139739,0.877394,1.785746,0.55999,144.304583,0.00693,1.373825,0.724925
27/04/2024,1.141372,0.876138,1.790258,0.558579,144.938273,0.006899,1.379453,0.722135
28/04/2024,1.139434,0.877629,1.781703,0.561261,144.755786,0.006908,1.384783,0.72375
29/04/2024,1.142391,0.875357,1.784569,0.560359,145.386283,0.006878,1.381693,0.721815
30/04/2024,1.142032,0.875632,1.784718,0.560313,145.280094,0.006883,1.385397,0.722439
01/05/2024,1.142032,0.875632,1.784718,0.560313,145.280094,0.006883,1.3842,0.722439
02/05/2024,1.146793,0.871997,1.787221,0.559528,146.618974,0.00682,1.3842,0.718495
03/05/2024,1.148554,0.87066,1.792355,0.557925,147.185581,0.006794,1.391798,0.719065
04/05/2024,1.149859,0.869672,1.788732,0.559055,146.524168,0.006825,1.390695,0.722345
05/05/2024,1.155185,0.865662,1.800074,0.555533,147.472617,0.006781,1.38438,0.716669
06/05/2024,1.155232,0.865627,1.780486,0.561644,148.026662,0.006756,1.395345,0.713385
07/05/2024,1.15652,0.864663,1.780813,0.561541,148.062149,0.006754,1.401768,0.713521
08/05/2024,1.156644,0.86457,1.781004,0.561481,147.904209,0.006761,1.4015,0.713445
09/05/2024,1.158029,0.863536,1.777984,0.562435,147.82731,0.006765,1.40165,0.710755
10/05/2024,1.160221,0.861905,1.783907,0.560567,148.285511,0.006744,1.406955,0.709395
11/05/2024,1.161574,0.860901,1.777254,0.562666,149.339931,0.006696,1.409652,0.709395
12/05/2024,1.154273,0.866346,1.774939,0.5634,149.930524,0.00667,1.409652,0.708875
13/05/2024,1.153516,0.866915,1.807837,0.553147,148.860251,0.006718,1.410686,0.716605
14/05/2024,1.153486,0.866937,1.807221,0.553336,148.439785,0.006737,1.395469,0.718133
15/05/2024,1.153486,0.866937,1.807221,0.553336,148.439785,0.006737,1.3925,0.718133
16/05/2024,1.156697,0.864531,1.793125,0.557686,148.730211,0.006724,1.3925,0.717245
17/05/2024,1.155362,0.86553,1.784373,0.560421,148.939258,0.006714,1.394224,0.716715
18/05/2024,1.158079,0.863499,1.790659,0.558453,149.523876,0.006688,1.395255,0.71515
19/05/2024,1.162808,0.859987,1.793772,0.557484,150.657356,0.006638,1.398308,0.713845
20/05/2024,1.158633,0.863086,1.801147,0.555202,149.387034,0.006694,1.400864,0.724755
21/05/2024,1.165103,0.858293,1.803602,0.554446,150.366858,0.00665,1.379777,0.724395
22/05/2024,1.168029,0.856143,1.803517,0.554472,150.843962,0.006629,1.380462,0.720115
23/05/2024,1.167546,0.856497,1.800907,0.555276,150.864643,0.006628,1.388667,0.71995
24/05/2024,1.167241,0.856721,1.798078,0.556149,151.584833,0.006597,1.388985,0.715375
25/05/2024,1.164429,0.85879,1.79074,0.558428,151.519075,0.0066,1.397868,0.718365
26/05/2024,1.164913,0.858433,1.793008,0.557722,151.797935,0.006588,1.39205,0.718159
27/05/2024,1.164338,0.858857,1.794142,0.55737,151.552855,0.006598,1.39245,0.720125
28/05/2024,1.167962,0.856192,1.793263,0.557643,151.443794,0.006603,1.388648,0.719805
